33.9,-114.4
39,-121.6
39,-121.9
39.2,-122.2
39.4,-122.1
40.3,-120.4
40.8,-122.2
40.8,-122.9
42.4,-121
39.7,-122.1
37.2,-119.3
42.2,-123.2
39.6,-121.7
39.4,-121.9
39.4,-122
38.9,-120.5
37.4,-119.8
42.3,-121.1
32.1,-115.2
38.7,-121.7
40.6,-122.5
40.6,-121.9
34.2,-119.2
33.8,-113.9
40.2,-123.4
39.3,-123
39.2,-123
39,-122.8
32.7,-114
32.9,-115.4
32.9,-115.5
36.7,-121.8
37.9,-121.1
38,-121.1
39.7,-120.3
39.7,-120.4
40.3,-120.5
42.1,-122.6
40.5,-122.3
40.1,-122.2
38.8,-115
39.5,-122.6
38.3,-122.3
38.1,-121.2
37.9,-121
37.6,-121.4
36,-121.1
35.4,-120.5
39,-122.2
40,-122.3
39,-123.4
38.9,-121.6
38.9,-121.8
39.1,-123.3
38.9,-122.8
38.9,-122.6
38.5,-122.7
38.3,-121.4
38.5,-122.8
38.4,-122.3
37.1,-121.9
37.1,-121.8
35.3,-119.5
32.8,-114
38.1,-121.1
38.2,-120.5
38.3,-121.2
38.2,-121.4
38.7,-122.1
38.8,-121.9
38.9,-121.5
39.1,-121.7
39.4,-122.3
39.5,-122
39.9,-121.1
41.5,-120.5
41.7,-121.1
41.7,-121.2
41.7,-122.4
42.2,-120.9
42.6,-121.9
42.5,-123.6
42.5,-123.7
38.7,-120.5
34.3,-116.8
33.5,-116.1
41.8,-119.8
42.6,-122.6
42.2,-120.5
40.9,-122.4
40.5,-122
40.3,-122.9
39.6,-122.3
39.1,-121.5
38.5,-120.8
38.2,-121.6
42.7,-122.9
39,-122.9
39.4,-122.2
32.6,-115.6
38.4,-121.6
38.9,-123
38.8,-123.1
38.9,-122.9
39.8,-122.2
41.5,-120.2
41.7,-122.5
41.1,-121.5
39.6,-119.5
39,-121.7
39,-122.6
38.8,-121.6
37.8,-119.1
37.1,-120
36.8,-120.3
36.5,-119.2
36.5,-114.8
39.8,-121.2
39.9,-121.2
41.8,-118.2
41.8,-118.3
41.7,-118.1
41.3,-118.6
40.9,-120.2
39.8,-122.9
38.5,-115.7
38.2,-121.3
38,-121.2
37.3,-121.1
32.5,-115
36.5,-121.3
35.2,-118.2
34,-117.7
32.9,-114.5
36.4,-113.1
41.7,-118.2
39.5,-121.7
38.9,-120.8
37.7,-118.8
37,-119.2
37.7,-118.9
37.4,-119.7
41.3,-121.1
38.2,-120.2
38.2,-120.3
38.5,-121.9
39,-123
39.2,-122.3
39.3,-122
39.5,-121.2
41.6,-121.9
42.1,-121.9
42.9,-121.2
42.7,-123.4
39.9,-122.1
42.9,-121.1
43,-121.1
36.8,-114
32.5,-115.2
35.9,-120.9
42.9,-116.1
38.9,-122.1
42.5,-114.8
37.7,-122.4
36.4,-119
39.2,-122.1
42.9,-122.9
42.6,-114.7
36.7,-121.6
40,-120
36.7,-119.9
36,-119
36,-118.9
35.9,-119.1
35.9,-119.3
35.5,-119.4
35.4,-119.2
35.2,-118.9
36.3,-119.3
35.7,-119.2
36.1,-119.6
36.9,-120.3
37,-120.1
37.1,-120.5
37.7,-120.9
37.7,-121.3
39.7,-122.4
42.7,-120.9
38.4,-114.4
39.4,-121.7
39.3,-121.5
38.4,-121.3
38.3,-120.6
37.7,-120.2
37.8,-120.8
36.2,-119
36.3,-120.3
35.7,-120
35.5,-118.9
35.7,-120.5
35.6,-120.7
34,-117.5
38.4,-114.3
37.3,-120.9
42.3,-121.5
42.3,-121.4
36.8,-119.9
36,-120.1
36.5,-119.3
37.1,-120.2
37.4,-119.9
37.5,-121
38.3,-122.2
38.9,-121.7
39.3,-120
40.7,-122.9
41.9,-118.3
41.6,-122.5
41.9,-121.4
42.4,-121.1
43,-120.7
41.5,-117.6
39.4,-113.9
39.5,-122.3
39,-121.5
39,-122.7
37.7,-121
37.5,-120.6
36.2,-118.7
34.3,-118.9
32.7,-114.6
32.6,-115.3
42.7,-114.6
38.8,-122.6
39.1,-123.2
40.8,-121.4
40.8,-122.1
33.6,-117.3
34.7,-118.6
35.5,-120.5
37.1,-120.7
38.5,-121.8
38.8,-121.5
39.1,-119.9
35.8,-119.1
35.2,-118.8
36.7,-119.8
40.5,-123.7
38.4,-119.5
38.3,-120.5
38.6,-122.6
43,-116.1
42.7,-122.5
39.3,-123.1
39.3,-123.2
43,-117.2
42.8,-114.8
42.6,-114.5
42,-113.5
42.6,-118.5
42.2,-121.8
41.6,-117.9
41.6,-117.8
37.2,-120.8
39.9,-122.2
39.6,-121.9
